PC1 PC2 PC3 
-2.1507723732 -0.8019880269  0.0256221790  1.0000000000
-2.2102445216 -0.9308443164 -0.0356403430  1.0000000000
-2.3333119571 -0.7958292884 -0.1574324757  1.0000000000
-2.3118027046 -0.7259634563 -0.1349872700  1.0000000000
-2.0696552891 -0.7379773040  0.1077957501  1.0000000000
-2.2582333742 -0.6585377443 -0.0804083657  1.0000000000
-2.0548780182 -0.7587710721  0.1223630788  1.0000000000
-2.1020219614 -0.8622813632  0.0737829695  1.0000000000
-2.1616846701 -0.7660211437  0.0151204775  1.0000000000
-2.0707286298 -0.9468688895  0.1041288959  1.0000000000
-2.1558044997 -0.7555872844  0.0211490687  1.0000000000
-2.0363115653 -0.8058124922  0.1404064234  1.0000000000
-2.0249288315 -0.6916881031  0.1532410599  1.0000000000
-2.2631092320 -0.7072613523 -0.0859041429  1.0000000000
-2.1741236689 -0.5827380008  0.0049136940  1.0000000000
-2.1872525953 -0.6094126690 -0.0085885082  1.0000000000
-2.1386251411 -1.0225661995  0.0350738313  1.0000000000
-2.0720359857 -0.6569882495  0.1064115189  1.0000000000
-2.1672858541 -0.9082343401  0.0077378515  1.0000000000
-2.0809334285 -0.6308670529  0.0978091236  1.0000000000
-2.0614224199 -0.7588096600  0.1157969946  1.0000000000
-2.0552209361 -0.7518533717  0.1221048221  1.0000000000
-2.0355759709 -0.6900833505  0.1425793207  1.0000000000
-2.1417829604 -0.8348915953  0.0342327481  1.0000000000
-2.0968415865 -0.6238484090  0.0819364465  1.0000000000
-2.2756908485 -0.6262069009 -0.0975215343  1.0000000000
-2.1515407119 -0.7814187234  0.0251063886  1.0000000000
-2.1451637369 -0.9364623255  0.0295816477  1.0000000000
-2.1748693926 -0.7807273364  0.0017106949  1.0000000000
-2.1095133347 -0.9959811039  0.0646095879  1.0000000000
-2.0794414983 -0.8632557693  0.0964245122  1.0000000000
-2.2124454052 -0.8578515584 -0.0369433241  1.0000000000
-2.1857193308 -0.6660070082 -0.0077519861  1.0000000000
-2.1295020572 -0.6892447584  0.0483593092  1.0000000000
-2.0500687432 -0.8275439067  0.1263352252  1.0000000000
-2.0643014038 -0.7592875568  0.1129027574  1.0000000000
-2.1571671272 -0.9906756028  0.0168671785  1.0000000000
-2.2355104656 -0.8510119815 -0.0599983123  1.0000000000
-2.1305853350 -1.0076432179  0.0433247158  1.0000000000
-2.1441475921 -0.6338256977  0.0343534604  1.0000000000
-2.0877943617 -0.9253152782  0.0872751127  1.0000000000
-2.2506568979 -0.6036775746 -0.0721271332  1.0000000000
-2.2136047784 -0.8229409501 -0.0376735990  1.0000000000
-2.0725382802 -0.8659757804  0.1033163717  1.0000000000
-2.0845441032 -0.8706125907  0.0912141579  1.0000000000
-2.0680845314 -0.6390803866  0.1105978147  1.0000000000
-2.2831195850 -0.7000858108 -0.1058903608  1.0000000000
-2.2414415045 -0.8921614306 -0.0664587778  1.0000000000
-2.2759374150 -0.7145318436 -0.0988640360  1.0000000000
-2.0467537700 -0.6541519447  0.1318108169  1.0000000000
-2.2888215918 -0.6657625568 -0.1111852700  1.0000000000
-2.2562562979 -0.9611361104 -0.0821767849  1.0000000000
-2.2530924588 -0.7967850432 -0.0769649147  1.0000000000
-2.1117505225 -0.7745644182  0.0651104854  1.0000000000
-2.1992427783 -0.8840035369 -0.0240221774  1.0000000000
-2.1522951634 -0.6586127233  0.0258721578  1.0000000000
-2.2925907171 -0.8281500649 -0.1169800415  1.0000000000
-2.1561120234 -0.9207990166  0.0187920970  1.0000000000
-2.1822321208 -0.9074642613 -0.0072472932  1.0000000000
-2.1980941249 -0.8756176653 -0.0227658264  1.0000000000
-2.1157087153 -0.6808389799  0.0623015647  1.0000000000
-2.1546803905 -0.7808439705  0.0219636637  1.0000000000
-2.2972171256 -0.7337952835 -0.1204515397  1.0000000000
-2.0471987436 -0.8092897323  0.1294408563  1.0000000000
-2.2931680110 -0.6698457395 -0.1155963989  1.0000000000
-2.1620006315 -0.7628764559  0.0148424832  1.0000000000
-2.0485543482 -0.6723013689  0.1297793710  1.0000000000
-2.2630094371 -0.7532010926 -0.0863736291  1.0000000000
-2.2882792622 -0.5965428058 -0.1097829312  1.0000000000
-2.1633204699 -0.6201495933  0.0152880313  1.0000000000
-2.2547149415 -0.7114477672 -0.0775345619  1.0000000000
-2.2723380060 -0.5967075625 -0.0937920678  1.0000000000
-2.0960974016 -0.9565447943  0.0785579576  1.0000000000
-2.0674137005 -0.8532538570  0.1086152935  1.0000000000
