PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 PC23 PC24 PC25 PC26 PC27 PC28 PC29 PC30 PC31 PC32 PC33 PC34 PC35 PC36 PC37 PC38 PC39 PC40 PC41 PC42 PC43 PC44 PC45 PC46 PC47 PC48 PC49 PC50 PC51 PC52 PC53 PC54 PC55 PC56 PC57 PC58 PC59 PC60 PC61 PC62 PC63 PC64 PC65 PC66 PC67 PC68 PC69 PC70 PC71 PC72 PC73 PC74 PC75 PC76 PC77 PC78 PC79 PC80 PC81 PC82 PC83 PC84 PC85 PC86 PC87 PC88 PC89 PC90 PC91 PC92 PC93 PC94 PC95 PC96 PC97 PC98 PC99 PC100 
-3.746353e+00  6.215486e+00  1.018876e+00 -1.505124e-01  3.397684e+00  6.022356e-01  3.689850e+00  1.933698e+00 -4.163697e-01 -9.011367e-01  3.504714e-02  3.737863e-01 -7.855196e-01 -1.255851e+00  1.551915e+00 -1.386399e+00 -8.038130e-01  1.825800e+00  1.305722e+00 -2.208545e-01 -1.938667e+00 -1.348806e+00  1.986037e+00  1.539477e-01  9.909811e-01 -9.169664e-01  1.153111e+00  1.184502e-01 -2.248230e-01  7.729583e-01 -5.569466e-01  7.024906e-01  1.172404e-01 -1.524204e-01  1.718213e+00 -2.864250e-01 -1.881719e+00  1.430739e-01  8.767621e-01 -1.144341e-01 -1.203354e+00 -1.405154e+00 -7.327844e-01 -4.637184e-01 -6.979285e-01  1.865898e-01 -7.292119e-01  9.661923e-01 -4.564647e-01  9.262610e-01  6.093589e-01 -2.710098e-01 -7.096147e-01  1.709566e-01  4.997549e-01  8.260565e-01 -1.164708e+00  1.551005e+00 -1.767259e-01 -3.148535e-02  3.756883e-01 -2.834155e-01  3.657120e-01 -2.158784e-01  1.732564e-01  3.450195e-01 -2.231420e-01  4.092137e-01 -5.463288e-01  1.963527e-01 -8.451512e-02  4.248394e-01  2.513191e-01 -2.315247e-02 -1.000783e-01 -5.604612e-01 -1.440092e-01 -3.846984e-01 -6.052748e-01 -2.798367e-01  1.264265e-01  4.044802e-01 -2.785297e-01 -2.280088e-01 -5.881602e-02  8.538351e-02  4.066227e-01 -4.299401e-01 -6.762773e-02  4.849543e-02 -1.440626e-01 -1.894218e-01  1.665468e-01 -1.045875e-01  2.371459e-01  1.985826e-01 -6.045871e-02 -3.325600e-02 -6.683068e-02  1.044933e-02  1.000000e+00
 2.624380e+00 -3.320738e+00  1.054966e+00  7.978285e-01 -9.971482e-01  2.537152e+00  4.913226e-01  3.436594e+00 -3.099254e+00 -1.006501e+00  9.368928e-01  2.840217e-01 -1.190041e+00  1.843129e+00 -2.405789e+00  1.307860e+00 -7.711688e-01 -9.066849e-01  1.725986e-01 -1.062783e+00 -1.823620e+00 -1.639010e+00 -5.943651e-02  2.106105e-01 -1.079067e+00 -4.436885e-02 -4.617199e-01 -1.867647e+00  8.639785e-01  4.613822e-01 -2.480508e+00  9.676262e-01  5.663062e-01 -1.614478e+00  7.419630e-01  1.043976e+00  4.919402e-01  3.764637e-01  4.917480e-01 -1.846470e+00  2.557105e-01  4.427647e-01  5.273440e-01 -6.848329e-02  7.204996e-01  3.685716e-01 -2.223830e-01  6.214226e-01  8.785625e-01 -7.276306e-02 -1.565760e+00 -2.053917e-01  6.713116e-01  4.149088e-01  5.344367e-01  1.160349e-01 -1.447831e-01  2.091808e-01  4.502891e-01  7.786661e-01  9.606248e-02 -4.601887e-01 -4.569397e-01 -2.725654e-01 -7.514896e-03  6.826296e-01  9.092252e-01 -7.676605e-01 -6.577417e-01 -2.400445e-02  5.643956e-01  1.240668e-01 -2.129222e-01 -6.897736e-01  3.235070e-01  3.046430e-02  2.253013e-01  9.533168e-02 -7.662676e-01  6.976822e-01  4.884950e-01  1.236893e-01  1.146172e-02 -1.504328e-01  2.586883e-01  3.394665e-01  1.203278e-01  3.454525e-01  8.147932e-02  6.012653e-02  3.652132e-01 -2.878185e-02  2.722376e-01  9.059930e-02  7.515860e-02  1.189647e-01  5.034921e-02 -1.434482e-01 -9.946483e-02 -1.661741e-03  1.000000e+00
-4.171211e+00 -2.914768e+00  1.873220e+00  3.023212e+00 -1.355644e+00 -1.084972e+00 -5.419756e-01 -1.341146e-01  1.620968e-01 -1.667162e+00  3.205321e+00 -1.149877e+00  6.702436e-01  5.246599e-01  1.904635e+00 -2.231764e+00 -1.246422e+00 -7.916021e-01 -4.821699e-01 -6.079703e-01 -3.013144e+00 -4.348989e-01 -1.226007e+00 -1.012730e-01  1.220336e+00 -3.990460e-01  4.514489e-01  1.305900e-01  2.343830e-02 -1.333088e+00  7.972411e-01 -6.198580e-01  6.505448e-01  1.183493e+00 -2.117817e-01 -1.140637e+00 -1.341437e+00 -6.033940e-01 -2.402713e-01  3.177390e-01  1.698725e+00  1.809284e-01  3.256306e-01  2.545776e-01 -9.652986e-02  4.604920e-02  2.735887e-01 -4.801397e-01  4.687873e-01 -9.227170e-02 -7.948016e-01 -8.742005e-02  5.569598e-02  3.949061e-01  4.497072e-01  2.907466e-01  2.951334e-01  6.477992e-01  8.071497e-02  2.933343e-01  5.972159e-01  4.525753e-01 -2.596472e-01  8.589510e-01  2.976990e-01 -1.193086e-01  6.693530e-01  9.136669e-02 -4.812453e-01 -1.010608e+00  3.240035e-02  1.733845e-01 -5.834258e-01 -5.422793e-01  4.607920e-02  2.130745e-01  1.048202e-01 -8.546960e-01 -1.338463e-01  2.991603e-01  1.305348e-01  5.737216e-01 -1.715801e-01 -4.096670e-01  1.191270e-01  7.133637e-02 -3.958754e-01 -5.799557e-02  6.805708e-01  1.538340e-01 -1.609714e-01  1.437834e-01 -2.083516e-01 -2.416546e-01 -4.378897e-02  2.191836e-01  7.913521e-02 -2.795623e-02 -1.018815e-01 -9.867589e-03  1.000000e+00
 1.442455e+00  3.209801e+00  2.795967e+00 -3.074381e-01  1.253869e+00  1.055673e+00  7.110599e-01  1.600864e+00 -2.898352e-01  1.775392e+00 -9.809394e-01  1.556756e+00  8.983509e-01 -2.401021e+00 -1.461724e+00 -4.062967e-01 -2.134680e+00 -8.678442e-01  7.279549e-01  1.826190e-01 -1.461577e+00  1.069435e+00 -4.474904e-01 -2.756933e+00  1.288387e+00  1.288618e+00  4.006461e-01  6.105180e-01 -1.592807e+00  7.504916e-01 -9.283358e-01  2.511571e+00 -5.906169e-01  4.280476e-01  7.886273e-01 -5.113666e-01 -2.316783e-01 -6.756200e-01  1.639526e-01  8.327768e-01  7.597754e-02  3.348017e-01 -8.722077e-01  9.057194e-01  4.344951e-01  5.412243e-01 -1.102835e+00 -2.681446e-01  2.560438e-01 -6.878437e-01 -9.085364e-02  1.395045e+00  1.670992e+00 -5.249503e-01  1.119819e+00 -1.164841e+00  1.381956e-01  6.987580e-01 -8.680735e-01  1.401766e-01  4.962098e-02 -2.821780e-01  2.377193e-02 -5.403180e-01  4.827824e-01  2.694908e-01  5.621217e-01  1.605335e-01  2.621878e-01 -5.728495e-01  1.129282e-01 -7.490303e-01  1.190763e-01  1.049340e-01 -1.757646e-01 -3.983755e-01 -5.362896e-01  2.117692e-01  2.819244e-01 -1.551261e-01  5.707165e-02  4.395110e-01 -5.134307e-01 -5.756046e-01  5.795987e-01  4.518322e-02 -3.163715e-01 -4.286452e-01 -2.221810e-01  4.966045e-02  9.063639e-02 -4.104484e-02  4.743709e-02  2.291334e-01 -2.895944e-02 -6.239875e-02  2.019259e-01  8.710468e-02 -6.980483e-03  6.768455e-02  1.000000e+00
 3.769854e+00 -1.505801e+00 -5.357898e-02 -8.499009e-01 -3.492755e+00  5.938431e-01  7.703667e-01  9.261837e-01 -1.136403e+00 -1.213316e+00 -1.476526e+00  1.766569e+00 -5.282525e-01  8.017439e-01  3.586169e-01  2.674045e+00 -1.175298e+00  2.472054e-01 -6.884330e-01 -6.307805e-01  8.720662e-01  5.550445e-01 -1.101988e+00  7.383262e-01  1.798189e+00  9.460000e-01  6.415216e-01  1.318938e-01  3.865252e-01  2.091704e+00 -8.215957e-01 -2.295430e-01  1.717945e+00  1.355911e+00  4.214460e-02  2.149086e-01 -3.203668e-01  6.690866e-01  3.444746e-01  1.027010e+00  1.599315e-01 -2.700297e-01  4.977093e-01 -1.211709e+00 -5.579020e-01  9.007228e-01 -1.401451e-01 -1.045014e+00 -9.369152e-01 -7.263403e-01  2.291000e+00  1.013329e+00 -4.454251e-01 -6.468730e-01 -2.593878e-01 -5.703763e-01 -1.096989e+00 -1.311717e-01 -1.433449e-01 -6.270336e-01 -8.229722e-01 -3.285831e-01  6.405849e-01 -5.468508e-01 -1.843939e-01  3.331338e-01  8.120638e-02 -1.016764e-01 -6.932143e-01  3.994325e-01 -6.188044e-02 -5.434109e-01 -1.250751e+00  5.556808e-02  3.867121e-01 -5.338165e-02 -1.792167e-01 -7.608657e-01 -9.872971e-02 -5.216086e-01  5.243065e-02  2.832286e-01 -2.127313e-01  1.427592e-01 -3.155841e-01  2.522679e-01  1.733176e-01 -1.798653e-01  9.013656e-02  4.700287e-01  2.305530e-01 -1.885147e-01 -1.368195e-01 -4.266514e-02  6.132267e-03  1.682954e-01  1.787151e-01  7.922918e-02  9.099611e-02 -4.226673e-03  1.000000e+00
-3.285379e-01 -1.610855e+00 -2.833080e+00  2.909946e+00  8.761339e-01 -9.276979e-01 -1.741987e+00  2.317930e+00  1.191564e+00  2.912314e+00 -5.162891e-01 -1.471085e+00  1.918579e-01  3.300745e-01 -5.107102e-01 -7.335400e-01  1.230262e+00  1.999808e+00  4.372678e-01  3.962675e-01  1.538359e+00  1.056695e+00  1.801509e+00  2.438150e-01  1.907789e+00  1.209697e+00  1.112364e+00 -1.307987e-01 -9.746079e-01  3.470445e-01  2.921610e-01  2.883344e-01  1.639119e+00  6.976251e-03 -1.148382e+00  8.864982e-02  5.995096e-01  4.720314e-01  1.612924e+00  1.487522e+00 -2.785562e-01  2.953430e-01  1.260467e+00  9.043889e-01  1.538834e-01  5.085534e-01 -1.496157e+00  5.092826e-01  4.317369e-01  6.578596e-01 -7.046985e-01  1.635732e+00  6.677862e-01 -5.805619e-02  8.897330e-02 -4.765342e-01  7.248017e-01 -9.852326e-02 -4.672564e-01  6.777885e-01  6.842070e-01  1.162709e+00 -8.737194e-01  3.100717e-01 -1.743288e-01  4.427930e-01  1.009110e+00 -3.020612e-02  2.769405e-01 -1.358180e-01  3.558078e-01 -4.522849e-02  2.409454e-01  2.505130e-01  9.232836e-02  5.043985e-01 -3.539444e-01  4.631019e-01  1.677785e-01  1.055924e-01 -6.051973e-01 -5.430460e-01 -4.907679e-01  2.311238e-01 -2.873039e-02  1.066879e-01  4.552501e-01 -1.723446e-01 -1.263226e-01  4.010299e-01  9.307593e-02  1.931953e-01  4.340716e-01 -3.493205e-02 -7.068027e-02  1.268546e-01 -9.939895e-02 -6.960448e-02  3.541870e-03  4.595665e-02  1.000000e+00
 6.260346e+00 -1.196325e+00 -1.242471e+00 -1.012656e+00 -1.572436e+00 -1.559238e+00 -2.493234e+00 -1.829821e+00  4.239044e-01 -7.328271e-01 -1.078631e+00  5.512228e-01 -8.113797e-01 -1.678636e+00 -7.088092e-01 -1.469026e+00 -1.019584e+00 -2.004843e-01  5.371071e-01  1.899301e+00  1.755245e+00 -1.145436e+00  5.029980e-01 -7.485661e-01  9.248429e-01 -7.206751e-01  3.007764e-01  2.173731e-01  1.262741e-01  5.153940e-01  1.841132e+00  3.078510e+00  1.061411e+00 -1.521078e+00  9.476295e-01  1.759897e+00 -1.211289e+00 -6.877755e-01 -1.830571e+00 -5.960680e-01 -4.513765e-01 -6.209429e-01  1.303113e-01  6.670004e-01  6.139882e-01 -5.119298e-02  8.555921e-01 -2.118502e-01 -3.722094e-01  6.282808e-01  4.295816e-01  7.513031e-01 -6.922917e-01 -4.556215e-01  4.730469e-01 -8.180845e-01 -1.991658e-01  1.296390e+00  5.965851e-01 -1.273058e+00  5.805067e-01 -1.532174e-01  4.423518e-01 -8.005068e-01  2.979302e-01  8.417800e-01 -2.698141e-01  7.562890e-01  5.396836e-01 -4.863982e-01  9.074368e-01  6.966726e-01 -6.829527e-01 -2.955748e-01  2.928656e-01  4.911705e-02 -4.011137e-01  8.069391e-02  4.456304e-01 -8.462643e-02 -8.458138e-02 -8.938773e-02  1.660066e-02 -4.603469e-02 -4.998279e-02  3.225167e-02 -7.575018e-02 -1.163431e-01  2.996412e-01  2.721736e-01 -3.086025e-01  6.475158e-02 -2.151780e-01 -1.020911e-01 -1.226789e-01  3.394792e-01 -2.287834e-01 -2.627230e-02  4.458820e-02  1.600455e-02  1.000000e+00
-1.991708e+00 -3.851991e-01  3.120310e+00  4.805083e-01  7.025716e-01 -1.185413e+00 -4.773248e-01 -1.596953e+00 -1.089627e-01 -9.123347e-01  5.521947e-03 -1.258780e+00  7.911653e-01  2.727344e+00  1.843324e+00 -6.120141e-01 -2.641212e+00 -6.157463e-01  6.014383e-02 -1.007006e+00  3.098094e-01 -2.199966e+00 -1.449588e+00 -1.076452e+00 -1.020056e+00 -7.682204e-01  6.978316e-01 -4.518661e-01 -1.150226e+00  1.991848e+00  1.427951e+00 -2.392319e+00 -4.180489e-01  1.427377e+00 -1.203613e+00 -1.887514e+00 -1.784919e+00 -1.433254e+00 -1.781130e-01  1.380008e+00  2.148861e-01  2.415352e-01  6.107505e-01  6.549623e-01  3.665135e-01  1.838602e+00  3.031332e-01 -1.688712e-01  4.759864e-01 -7.049860e-01  1.467055e+00  1.758824e-01  2.191220e-01 -2.844322e-01 -5.161014e-01 -2.990679e-01 -1.077976e-01  2.138388e-02  1.057084e-02  7.591953e-01  1.563937e+00  1.832418e-02 -3.267166e-01 -5.565975e-01 -2.390270e-01  1.676517e-01  1.244508e-01 -3.315836e-01 -8.272563e-02  7.863331e-01  1.239663e-01 -1.377447e-01 -4.955843e-02  1.137952e-01  1.315668e-01 -3.374683e-03 -4.065349e-01  5.782114e-01 -6.731826e-03  5.184812e-01  4.098866e-01  3.066471e-01  5.968126e-02  4.904172e-01  1.057789e-01 -4.134291e-01 -1.464980e-01  4.613315e-01 -1.649114e-01 -3.071808e-01  3.860970e-01 -1.194419e-01 -2.872002e-02  8.215284e-02 -1.136060e-01  6.492957e-02 -2.361641e-01 -7.162427e-02  7.184856e-02  2.927402e-02  1.000000e+00
-2.616146e+00 -1.309387e+00  7.066591e-01  2.193213e+00  1.378423e+00  8.174735e-01 -1.147120e-01 -9.040743e-02  1.169430e+00  3.901546e-01  8.786245e-01 -2.474395e+00 -1.216426e+00  4.861616e-01  1.717080e+00  1.479614e+00  1.237428e+00  6.031377e-02  6.570910e-01  2.379120e+00  1.413470e+00 -1.878883e-01 -1.301351e+00  4.462717e-01 -1.528603e+00  4.953541e-01  4.654402e-01  1.950285e+00 -8.389908e-01 -1.220235e-01  3.314271e-02  3.582985e-01 -1.363739e+00  1.134626e+00  6.155782e-01 -2.310195e-01  3.975345e-01  7.216089e-01 -1.093854e+00  1.363211e+00 -5.571231e-01  8.282149e-01  2.670355e+00 -7.024940e-01 -7.795248e-01 -1.411380e+00 -3.499486e-01  7.165002e-01  1.139757e+00  1.057249e-01  1.116059e+00  2.234633e-01 -6.118223e-01  4.491850e-01 -5.457579e-01 -5.408061e-01  1.406220e+00  4.532284e-01  1.464658e-01  3.760789e-01 -2.770724e-01 -5.179986e-03  5.550094e-01 -1.010085e+00 -3.069342e-01 -6.826389e-01  5.985004e-02  2.938194e-02  2.695622e-01  2.727371e-01  3.858128e-01  4.751390e-02 -1.370001e-01 -1.060470e-01  5.213134e-01 -2.984410e-01  1.637275e-01 -6.606946e-03  6.160439e-01 -7.383076e-02 -1.560377e-01 -1.267721e-02  2.092890e-01 -1.704680e-01 -3.527465e-01  3.273851e-01 -8.863065e-02  2.273103e-01  2.492325e-01  2.098728e-01 -6.053877e-04 -1.768624e-01  3.696477e-01  2.329644e-01 -1.140252e-01 -1.801732e-01 -2.016095e-01 -7.023264e-02  7.154853e-02 -2.218488e-02  1.000000e+00
 2.129058e+00  9.360335e-02  3.420308e+00 -6.347599e-01 -3.820941e-01 -1.080214e+00 -2.647314e+00 -2.336858e+00  4.620463e-01  2.170003e-01 -7.665671e-01  1.377082e+00  1.882155e+00  2.524144e-01  6.384176e-01  1.416218e+00  2.747250e+00 -2.949855e-01 -9.777942e-01 -1.873753e-01 -8.211766e-01 -1.544700e+00  2.260486e-01 -4.272126e-01 -8.619200e-01 -1.809214e+00  4.262730e-01 -8.109473e-01 -6.540167e-01 -1.193979e+00 -1.727027e+00 -1.438773e+00  7.719163e-01  9.792628e-01  7.210285e-01 -5.081790e-01  2.408259e-01 -3.436860e-01  3.791373e-01 -8.286470e-01 -3.752682e-01 -1.068043e+00  3.703903e-01 -1.777427e-01 -1.022908e+00  9.055533e-01 -9.287288e-01  1.834879e-01  5.301964e-01 -1.032872e+00 -7.391481e-01  7.823037e-02 -2.183843e+00  1.451416e-02  1.738859e-01  3.918897e-01  3.052961e-01  3.069323e-01 -9.757848e-01 -7.251114e-01  4.357375e-01 -8.650175e-01  9.427101e-02 -2.360902e-01 -7.252079e-02 -3.768152e-02  9.882533e-01  1.871347e-01 -3.409678e-01 -2.509422e-02 -2.173125e-02  3.147369e-01 -5.283810e-01  5.596043e-01  1.896176e-01  2.913524e-01 -2.455122e-01  3.068142e-01  3.970782e-01  1.000497e-01  4.554757e-01  9.683717e-01 -7.380723e-01  2.740735e-01 -1.439685e-01  1.631670e-01  1.721378e-01  9.172663e-02 -2.255813e-01 -4.452514e-01 -1.292584e-01 -1.356657e-01  5.754917e-02 -1.328045e-01 -2.776576e-01 -3.152125e-01 -1.537574e-02 -3.601831e-02  3.525660e-02  3.683195e-02  1.000000e+00
