PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 
-3.307421e+00  1.439402e+00 -1.652728e-01  2.150246e-01  6.910933e-01  2.232504e-01  5.947488e-01 -6.495586e-02 -6.396384e-01  1.018084e+00  4.502932e-01  5.392891e-01 -6.605231e-02  1.000000e+00
-2.203250e+00 -3.324551e-01 -2.020757e+00  2.905387e-01 -2.569299e-01  9.245123e-01  5.362434e-02 -1.021534e+00  3.079780e-01  1.592521e-01  1.422560e-01  3.871456e-01  3.626273e-03  1.000000e+00
-2.509661e+00  1.028251e+00  9.800541e-01 -7.228632e-01 -2.503270e-01 -5.477310e-01  4.230122e-01  3.432479e-01  1.174521e+00  1.130420e-01  2.858665e-01  5.819316e-04  2.165542e-02  1.000000e+00
-3.746497e+00  2.748618e+00 -1.756962e-01 -5.663856e-01 -3.109644e-01 -1.141091e-01 -3.822590e-01 -6.417831e-01 -5.239662e-02  2.387392e-01 -7.574476e-01 -2.413388e-01 -3.684442e-01  1.000000e+00
-1.006070e+00  8.673840e-01  2.020987e+00  4.086131e-01  2.976180e-01  4.053761e-01  4.428253e-01 -4.155283e-01 -3.258998e-01 -7.814604e-02  5.244656e-01 -2.160547e-01 -7.914032e-02  1.000000e+00
-3.041674e+00  2.116431e+00 -6.276254e-01  5.141870e-01 -6.302409e-01 -1.230834e-01  4.005239e-01 -3.937826e-01  1.517181e-01 -1.017089e-01 -4.044444e-01 -3.783654e-01  1.447470e-01  1.000000e+00
-2.442201e+00  1.171545e+00 -9.743464e-01  6.564533e-02 -1.024871e+00  6.183764e-01  5.274195e-02  3.708876e-01  4.557303e-01  1.013704e+00  4.411889e-01  1.408326e-01 -2.710137e-01  1.000000e+00
-2.053644e+00  1.604437e+00  1.458704e-01  1.189253e+00  7.668717e-02  1.435756e+00  3.228452e-02 -2.323236e-01 -1.230233e-01  7.335308e-01 -2.927291e-01  3.785951e-01 -1.098539e-01  1.000000e+00
-2.503811e+00  9.154885e-01 -1.765987e+00 -5.611208e-02 -8.897471e-01  1.288177e-01  1.249327e-01  4.981726e-01 -6.048829e-01  1.736169e-01  5.075013e-01 -6.334624e-01  1.416839e-01  1.000000e+00
-2.745882e+00  7.872170e-01 -9.814789e-01 -3.483988e-01 -4.672351e-01 -1.629320e-01 -8.718927e-01 -1.501559e-01 -2.298408e-01  1.789154e-01 -1.244307e-02  5.487788e-01 -4.233543e-02  1.000000e+00
-3.469948e+00  1.298670e+00 -4.215461e-01 -2.676626e-02 -3.374229e-01  1.823871e-01  2.474643e-01  1.203217e+00  5.230984e-01 -2.139341e-01 -7.304541e-01 -8.108354e-02  1.222571e-01  1.000000e+00
-1.749817e+00  6.102558e-01 -1.187528e+00  8.876604e-01 -7.364951e-01  5.514995e-01 -4.330447e-01  9.823554e-01  4.726971e-01  2.196631e-01 -4.131960e-02 -1.621036e-01  1.423682e-01  1.000000e+00
-2.107517e+00  6.738056e-01 -8.626530e-01  3.554354e-01 -1.206525e+00  2.144711e-01 -2.419148e-01  4.602082e-01  8.763413e-01 -9.623390e-02 -5.389442e-02 -8.949406e-02 -4.921359e-03  1.000000e+00
-3.448429e+00  1.127449e+00 -1.200889e+00 -1.620011e-01 -2.017436e+00 -7.436830e-01  1.471622e+00  3.793158e-01  2.562985e-02 -2.439644e-01  1.228336e+00 -7.701610e-01  2.251861e-01  1.000000e+00
-4.300652e+00  2.090080e+00 -1.260357e+00 -3.049131e-01 -1.026796e+00 -7.934048e-01  9.971581e-01  4.037525e-01  8.379787e-01 -3.634078e-01  3.148579e-01 -1.424180e-01 -9.445750e-02  1.000000e+00
